Timestamp,CH1 Volts,CH2 Volts,CH3 Volts,CH4 Volts,CH5 m/s^2,CH6 m/s^2,CH7 m/s^2,CH8 C
2025-03-10_12-30-13.000,3.41,2.82,24.9,4.15,0.13,-0.03,0.08,25.7
2025-03-10_12-30-13.500,3.59,2.79,25.7,4.02,0.13,-0.03,0.06,25.9
2025-03-10_12-30-14.000,3.58,2.72,25.7,4.03,0.11,-0.07,0.1,25.7
2025-03-10_12-30-14.500,3.48,2.79,25.2,4.02,0.1,-0.05,0.1,25.7
2025-03-10_12-30-15.000,3.44,2.82,25.0,4.04,0.13,-0.07,0.09,26.3
2025-03-10_12-30-15.500,3.49,2.8,25.0,4.01,0.11,-0.04,0.06,25.5
2025-03-10_12-30-16.000,3.6,2.9,24.5,4.0,0.1,-0.04,0.08,25.9
2025-03-10_12-30-16.500,3.56,2.79,26.1,4.08,0.13,-0.07,0.1,26.1
2025-03-10_12-30-17.000,3.55,2.74,25.3,4.11,0.12,-0.05,0.09,25.8
2025-03-10_12-30-17.500,3.53,2.81,25.7,4.2,0.1,-0.06,0.09,25.9
2025-03-10_12-30-18.000,3.56,2.87,25.1,4.11,0.14,-0.04,0.06,25.9
2025-03-10_12-30-18.500,3.51,2.83,25.4,4.12,0.11,-0.05,0.09,26.3
2025-03-10_12-30-19.000,3.59,2.88,26.4,4.14,0.11,-0.05,0.08,25.6
2025-03-10_12-30-19.500,3.51,2.77,26.1,4.07,0.11,-0.04,0.07,25.7
2025-03-10_12-30-20.000,3.55,2.75,24.8,4.08,0.11,-0.05,0.07,26.3
2025-03-10_12-30-20.500,3.51,2.75,26.3,4.19,0.11,-0.05,0.08,26.3
2025-03-10_12-30-21.000,3.51,2.82,25.2,4.03,0.12,-0.06,0.09,26.2
2025-03-10_12-30-21.500,3.5,2.77,25.8,4.07,0.13,-0.06,0.07,26.3
2025-03-10_12-30-22.000,3.55,2.78,26.3,4.17,0.11,-0.06,0.1,26.2
2025-03-10_12-30-22.500,3.46,2.8,26.4,4.14,0.13,-0.03,0.07,26.5
2025-03-10_12-30-23.000,3.46,2.77,25.2,4.12,0.13,-0.03,0.07,25.9
2025-03-10_12-30-23.500,3.47,2.72,25.5,4.06,0.11,-0.04,0.1,26.4
2025-03-10_12-30-24.000,3.49,2.89,25.7,4.17,0.12,-0.04,0.09,26.5
2025-03-10_12-30-24.500,3.58,2.82,25.3,4.05,0.14,-0.04,0.09,26.3
2025-03-10_12-30-25.000,3.42,2.79,26.0,4.03,0.14,-0.05,0.1,25.7
2025-03-10_12-30-25.500,3.43,2.83,24.8,4.19,0.11,-0.05,0.08,26.4
2025-03-10_12-30-26.000,3.57,2.85,24.6,4.07,0.14,-0.04,0.07,25.8
2025-03-10_12-30-26.500,3.54,2.88,25.1,4.01,0.13,-0.06,0.08,25.5
2025-03-10_12-30-27.000,3.41,2.88,25.8,4.01,0.13,-0.05,0.1,26.4
2025-03-10_12-30-27.500,3.46,2.75,24.7,4.17,0.13,-0.05,0.09,26.5
2025-03-10_12-30-28.000,3.48,2.79,25.1,4.08,0.1,-0.05,0.1,25.8
2025-03-10_12-30-28.500,3.5,2.79,26.4,4.03,0.13,-0.05,0.08,25.5
2025-03-10_12-30-29.000,3.56,2.89,24.7,4.18,0.13,-0.04,0.07,25.8
2025-03-10_12-30-29.500,3.49,2.79,25.5,4.14,0.11,-0.03,0.09,25.8
2025-03-10_12-30-30.000,3.41,2.89,24.6,4.19,0.11,-0.04,0.07,26.1
2025-03-10_12-30-30.500,3.55,2.76,25.7,4.08,0.14,-0.04,0.09,26.2
2025-03-10_12-30-31.000,3.4,2.9,25.1,4.07,0.11,-0.06,0.09,26.1
2025-03-10_12-30-31.500,3.58,2.82,26.1,4.14,0.14,-0.04,0.07,25.6
2025-03-10_12-30-32.000,3.41,2.89,24.8,4.1,0.14,-0.06,0.07,26.3
2025-03-10_12-30-32.500,3.59,2.78,26.4,4.02,0.14,-0.03,0.07,26.3
2025-03-10_12-30-33.000,3.4,2.81,25.6,4.13,0.12,-0.05,0.1,25.9
2025-03-10_12-30-33.500,3.53,2.87,26.0,4.15,0.13,-0.04,0.1,26.1
2025-03-10_12-30-34.000,3.42,2.76,25.6,4.02,0.13,-0.04,0.09,26.1
2025-03-10_12-30-34.500,3.44,2.84,26.4,4.0,0.13,-0.06,0.08,25.6
2025-03-10_12-30-35.000,3.52,2.84,25.6,4.08,0.11,-0.06,0.07,25.8
2025-03-10_12-30-35.500,3.42,2.88,25.4,4.17,0.13,-0.07,0.09,25.7
2025-03-10_12-30-36.000,3.6,2.71,25.8,4.12,0.11,-0.07,0.07,26.4
2025-03-10_12-30-36.500,3.53,2.76,25.3,4.17,0.11,-0.05,0.08,26.1
2025-03-10_12-30-37.000,3.43,2.76,25.0,4.15,0.13,-0.06,0.07,26.0
2025-03-10_12-30-37.500,3.54,2.89,25.6,4.11,0.11,-0.05,0.08,25.6
2025-03-10_12-30-38.000,3.51,2.89,26.3,4.15,0.14,-0.07,0.07,25.9
2025-03-10_12-30-38.500,3.51,2.76,25.9,4.05,0.13,-0.04,0.08,25.8
2025-03-10_12-30-39.000,3.6,2.85,26.0,4.02,0.13,-0.06,0.1,26.3
2025-03-10_12-30-39.500,3.54,2.72,24.8,4.13,0.11,-0.06,0.07,25.9
2025-03-10_12-30-40.000,3.52,2.83,25.2,4.12,0.14,-0.05,0.08,26.0
2025-03-10_12-30-40.500,3.46,2.8,25.0,4.13,0.12,-0.06,0.06,26.1
2025-03-10_12-30-41.000,3.4,2.88,24.8,4.01,0.13,-0.05,0.09,25.6
2025-03-10_12-30-41.500,3.54,2.89,25.8,4.11,0.13,-0.06,0.08,25.9
2025-03-10_12-30-42.000,3.57,2.82,25.1,4.02,0.13,-0.03,0.08,26.0
2025-03-10_12-30-42.500,3.51,2.8,24.7,4.05,0.11,-0.06,0.1,26.1
2025-03-10_12-30-43.000,3.53,2.78,25.5,4.13,0.12,-0.04,0.08,26.4
2025-03-10_12-30-43.500,3.47,2.71,24.6,4.17,0.13,-0.07,0.09,25.9
2025-03-10_12-30-44.000,3.42,2.71,25.3,4.05,0.1,-0.04,0.06,26.0
2025-03-10_12-30-44.500,3.46,2.83,25.9,4.18,0.13,-0.04,0.09,26.3
2025-03-10_12-30-45.000,3.53,2.74,24.7,4.13,0.13,-0.05,0.08,26.4
2025-03-10_12-30-45.500,3.59,2.88,25.7,4.07,0.12,-0.05,0.08,26.3
2025-03-10_12-30-46.000,3.52,2.79,24.7,4.01,0.1,-0.06,0.07,26.3
2025-03-10_12-30-46.500,3.42,2.8,26.4,4.06,0.1,-0.03,0.06,26.1
2025-03-10_12-30-47.000,3.41,2.71,25.5,4.07,0.11,-0.06,0.06,25.9
2025-03-10_12-30-47.500,3.43,2.86,25.1,4.09,0.14,-0.04,0.08,25.8
2025-03-10_12-30-48.000,3.45,2.84,26.4,4.0,0.1,-0.05,0.07,25.9
2025-03-10_12-30-48.500,3.57,2.76,26.5,4.03,0.1,-0.04,0.08,26.4
2025-03-10_12-30-49.000,3.59,2.84,25.1,4.2,0.11,-0.06,0.09,25.8
2025-03-10_12-30-49.500,3.47,2.79,25.4,4.14,0.12,-0.05,0.08,25.5
