Timestamp,CH1 Volts,CH2 Volts,CH3 C,CH4 Volts,CH5 m/s^2,CH6 m/s^2,CH7 m/s^2,CH8 C
2025-03-08_12-30-39-623000,3.39,2.84,26.7,4.16,0.09,0.02,0.11,25.6
2025-03-08_12-30-40-123000,3.4,2.8,26.5,4.03,0.11,-0.04,0.07,25.2
2025-03-08_12-30-40-623000,3.46,2.86,26.0,4.17,0.09,-0.02,0.09,25.7
2025-03-08_12-30-41-123000,3.44,2.86,24.6,4.09,0.25,-0.05,0.13,26.5
2025-03-08_12-30-41-623000,3.42,2.81,25.5,4.18,-0.01,-0.04,0.19,27.2
2025-03-08_12-30-42-123000,3.43,2.72,25.9,4.11,0.1,-0.11,0.2,25.9
2025-03-08_12-30-42-623000,3.49,2.82,25.5,4.17,0.1,-0.02,0.11,25.7
2025-03-08_12-30-43-123000,3.45,2.66,25.6,4.06,0.16,-0.03,0.07,26.3
2025-03-08_12-30-43-623000,3.42,2.89,26.0,4.09,0.02,-0.15,0.11,25.6
2025-03-08_12-30-44-123000,3.51,2.8,25.4,4.12,0.12,-0.09,0.01,25.8
2025-03-08_12-30-44-623000,3.29,2.74,25.5,4.19,0.13,-0.11,0.07,25.9
2025-03-08_12-30-45-123000,3.44,2.8,25.5,4.07,0.06,-0.03,0.04,27.0
2025-03-08_12-30-45-623000,3.42,2.87,25.8,4.12,0.06,-0.1,0.16,25.7
2025-03-08_12-30-46-123000,3.43,2.83,26.3,4.16,0.27,0.0,0.18,26.2
2025-03-08_12-30-46-623000,3.43,2.72,26.2,4.05,0.22,-0.06,0.12,26.0
2025-03-08_12-30-47-123000,3.52,2.95,25.8,4.11,0.04,-0.03,0.15,26.1
2025-03-08_12-30-47-623000,3.37,2.82,24.6,4.08,0.18,-0.03,0.13,25.4
2025-03-08_12-30-48-123000,3.45,2.76,25.5,4.07,0.09,-0.03,0.16,26.6
2025-03-08_12-30-48-623000,3.44,2.73,24.3,4.06,0.09,-0.03,0.1,26.1
2025-03-08_12-30-49-123000,3.48,2.74,25.9,4.08,0.15,0.03,0.07,26.9
2025-03-08_12-30-49-623000,3.44,2.83,25.4,4.17,0.25,-0.15,0.13,26.2
2025-03-08_12-30-50-123000,3.42,2.77,25.6,4.14,0.21,-0.09,0.08,25.8
2025-03-08_12-30-50-623000,3.4,2.84,24.8,4.16,0.08,0.02,0.11,25.8
2025-03-08_12-30-51-123000,3.45,2.75,25.7,4.14,0.01,-0.11,0.09,26.5
2025-03-08_12-30-51-623000,3.44,2.74,24.5,4.08,0.2,0.02,0.12,26.0
2025-03-08_12-30-52-123000,3.38,2.75,26.0,4.13,0.19,-0.07,0.07,25.5
2025-03-08_12-30-52-623000,3.39,2.79,26.2,4.07,0.21,-0.08,0.13,26.3
2025-03-08_12-30-53-123000,3.47,2.76,24.9,4.07,0.06,0.0,-0.03,26.2
2025-03-08_12-30-53-623000,3.46,2.71,24.5,4.1,0.2,0.05,0.05,26.5
2025-03-08_12-30-54-123000,3.4,2.84,24.5,4.14,0.15,0.02,0.04,25.1
2025-03-08_12-30-54-623000,3.45,2.72,25.4,4.12,0.11,0.01,0.11,25.6
2025-03-08_12-30-55-123000,3.43,2.76,25.9,4.15,0.08,-0.12,0.17,25.8
2025-03-08_12-30-55-623000,3.43,2.83,25.6,4.07,0.18,-0.01,0.08,26.1
2025-03-08_12-30-56-123000,3.5,2.86,25.4,4.13,0.11,-0.14,0.1,26.4
2025-03-08_12-30-56-623000,3.46,2.83,25.3,4.08,0.13,-0.06,-0.04,26.3
2025-03-08_12-30-57-123000,3.52,2.82,26.4,4.12,0.09,-0.03,0.18,26.5
2025-03-08_12-30-57-623000,3.4,2.81,25.0,4.12,0.1,-0.09,0.18,26.5
2025-03-08_12-30-58-123000,3.46,2.74,25.6,4.11,0.06,-0.1,0.08,26.2
2025-03-08_12-30-58-623000,3.37,2.75,25.1,4.07,0.12,-0.05,0.1,25.5
2025-03-08_12-30-59-123000,3.48,2.8,25.9,4.19,0.11,-0.04,0.13,25.7
2025-03-08_12-30-59-623000,3.5,2.74,26.0,4.11,0.15,-0.13,0.05,25.8
2025-03-08_12-31-00-123000,3.42,2.78,24.6,4.16,0.02,-0.06,0.03,26.6
2025-03-08_12-31-00-623000,3.4,2.65,26.2,4.03,0.18,-0.03,0.17,26.4
2025-03-08_12-31-01-123000,3.44,2.66,25.5,4.12,0.13,-0.1,0.11,25.5
2025-03-08_12-31-01-623000,3.49,2.91,25.5,4.15,0.19,-0.08,0.02,26.1
2025-03-08_12-31-02-123000,3.5,2.72,25.9,4.05,0.14,-0.01,0.1,25.8
2025-03-08_12-31-02-623000,3.42,2.79,24.9,4.08,0.08,-0.07,0.16,26.6
2025-03-08_12-31-03-123000,3.42,2.76,25.4,4.07,0.23,-0.1,0.11,25.7
2025-03-08_12-31-03-623000,3.43,2.82,26.1,4.05,0.11,-0.05,0.13,26.0
2025-03-08_12-31-04-123000,3.5,2.79,25.8,4.2,0.14,0.02,0.11,26.3
2025-03-08_12-31-04-623000,3.54,2.69,25.9,4.08,0.09,-0.1,0.02,25.3
2025-03-08_12-31-05-123000,3.4,2.76,25.5,4.1,0.2,0.01,0.16,26.0
2025-03-08_12-31-05-623000,3.45,2.73,25.9,4.19,0.19,-0.05,0.1,26.3
2025-03-08_12-31-06-123000,3.47,2.77,25.7,4.17,0.06,-0.12,0.08,26.4
2025-03-08_12-31-06-623000,3.52,2.8,25.0,4.19,0.11,0.01,0.01,26.5
2025-03-08_12-31-07-123000,3.45,2.84,25.6,4.13,0.15,-0.11,0.12,26.4
2025-03-08_12-31-07-623000,3.5,2.7,25.8,4.2,0.16,-0.01,0.12,26.6
2025-03-08_12-31-08-123000,3.5,2.76,26.4,4.16,0.12,-0.0,0.15,26.7
2025-03-08_12-31-08-623000,3.34,2.8,25.0,4.09,0.13,-0.02,0.17,26.0
2025-03-08_12-31-09-123000,3.43,2.83,25.9,4.14,0.17,-0.11,0.08,25.3
2025-03-08_12-31-09-623000,3.45,2.76,25.6,4.06,0.06,-0.11,0.1,26.2
2025-03-08_12-31-10-123000,3.47,2.81,25.1,4.08,0.05,-0.03,0.04,25.6
2025-03-08_12-31-10-623000,3.47,2.83,25.3,4.07,0.1,-0.07,0.19,25.6
2025-03-08_12-31-11-123000,3.44,2.75,26.0,4.16,0.23,0.02,0.11,25.3
2025-03-08_12-31-11-623000,3.46,2.81,26.2,4.08,0.14,-0.08,0.1,26.1
2025-03-08_12-31-12-123000,3.42,2.79,25.5,4.16,0.12,-0.04,0.14,25.7
2025-03-08_12-31-12-623000,3.4,2.75,25.9,4.1,0.12,-0.09,0.1,26.0
2025-03-08_12-31-13-123000,3.5,2.73,26.2,4.03,0.04,-0.12,0.06,26.2
2025-03-08_12-31-13-623000,3.32,2.81,26.2,4.09,0.12,0.03,0.12,26.0
2025-03-08_12-31-14-123000,3.32,2.81,25.9,4.21,0.16,-0.17,-0.01,25.6
2025-03-08_12-31-14-623000,3.46,2.85,25.1,4.13,0.12,-0.05,0.12,26.3
2025-03-08_12-31-15-123000,3.49,2.77,24.7,4.1,0.14,-0.06,0.09,26.1
2025-03-08_12-31-15-623000,3.5,2.82,26.3,4.12,0.08,-0.05,0.15,26.6
2025-03-08_12-31-16-123000,3.46,2.82,25.8,4.09,-0.0,-0.02,0.04,25.5
2025-03-08_12-31-16-623000,3.53,2.7,26.2,4.09,0.06,-0.02,-0.01,25.6
2025-03-08_12-31-17-123000,3.43,2.82,25.0,4.19,0.21,-0.05,0.14,25.8
2025-03-08_12-31-17-623000,3.43,2.86,25.2,4.09,0.14,-0.08,0.02,26.7
2025-03-08_12-31-18-123000,3.48,2.8,24.9,4.19,0.15,-0.08,-0.0,25.7
2025-03-08_12-31-18-623000,3.41,2.83,25.4,4.07,0.12,0.02,0.13,26.7
2025-03-08_12-31-19-123000,3.48,2.73,26.0,4.11,0.09,-0.05,0.16,26.4
2025-03-08_12-31-19-623000,3.33,2.71,25.6,4.06,0.1,-0.07,0.01,25.6
2025-03-08_12-31-20-123000,3.42,2.81,25.5,4.1,0.13,-0.03,0.03,26.7
2025-03-08_12-31-20-623000,3.48,2.78,25.5,4.08,0.12,0.03,0.06,26.3
2025-03-08_12-31-21-123000,3.54,2.81,25.3,4.14,0.1,-0.09,0.16,26.4
2025-03-08_12-31-21-623000,3.47,2.7,25.3,4.16,0.08,-0.06,0.11,26.4
2025-03-08_12-31-22-123000,3.51,2.74,25.8,4.08,0.08,-0.09,0.11,25.8
2025-03-08_12-31-22-623000,3.46,2.73,25.7,4.09,0.14,-0.06,0.12,26.5
2025-03-08_12-31-23-123000,3.49,2.73,26.4,4.09,0.09,0.03,0.13,26.5
2025-03-08_12-31-23-623000,3.41,2.87,24.5,4.06,0.16,-0.11,0.05,26.7
2025-03-08_12-31-24-123000,3.38,2.83,25.3,4.11,0.15,-0.03,0.08,26.1
2025-03-08_12-31-24-623000,3.4,2.78,25.6,4.16,0.2,-0.04,0.16,25.5
2025-03-08_12-31-25-123000,3.4,2.74,25.4,4.09,0.12,-0.14,0.14,25.7
2025-03-08_12-31-25-623000,3.5,2.72,25.8,4.09,0.14,0.04,0.16,26.4
2025-03-08_12-31-26-123000,3.45,2.78,25.2,4.12,0.1,-0.07,0.08,25.8
2025-03-08_12-31-26-623000,3.46,2.79,25.1,4.15,0.16,-0.06,0.08,25.7
2025-03-08_12-31-27-123000,3.39,2.79,26.2,4.09,0.07,-0.05,0.06,26.0
2025-03-08_12-31-27-623000,3.39,2.75,25.3,4.08,0.09,-0.03,0.09,25.5
2025-03-08_12-31-28-123000,3.47,2.78,25.4,4.1,0.0,-0.05,0.08,27.1
2025-03-08_12-31-28-623000,3.52,2.86,26.1,4.12,0.12,-0.04,0.08,25.3
2025-03-08_12-31-29-123000,3.4,2.8,25.0,4.17,0.13,0.03,0.18,26.1
2025-03-08_12-31-29-623000,3.49,2.85,25.3,4.08,0.22,-0.02,0.1,25.7
2025-03-08_12-31-30-123000,3.49,2.81,26.4,4.17,0.16,0.01,0.07,26.1
2025-03-08_12-31-30-623000,3.42,2.78,25.6,4.1,0.11,-0.17,0.04,26.5
2025-03-08_12-31-31-123000,3.52,2.79,25.3,4.07,0.21,0.02,0.09,26.0
2025-03-08_12-31-31-623000,3.48,2.74,25.8,4.18,0.1,-0.04,0.07,25.9
2025-03-08_12-31-32-123000,3.45,2.83,24.8,4.11,0.14,-0.04,0.14,26.2
2025-03-08_12-31-32-623000,3.43,2.84,25.6,4.05,0.09,-0.04,0.05,25.5
2025-03-08_12-31-33-123000,3.47,2.85,25.6,4.04,0.13,-0.05,0.11,25.8
2025-03-08_12-31-33-623000,3.49,2.76,24.7,4.15,0.23,-0.2,0.05,25.6
2025-03-08_12-31-34-123000,3.41,2.7,26.0,4.13,0.07,-0.02,0.1,25.3
2025-03-08_12-31-34-623000,3.47,2.77,25.2,4.13,0.17,-0.02,0.1,25.9
2025-03-08_12-31-35-123000,3.44,2.84,25.8,4.13,0.15,-0.07,0.14,26.6
2025-03-08_12-31-35-623000,3.49,2.8,25.3,4.14,0.15,-0.04,0.13,26.4
2025-03-08_12-31-36-123000,3.43,2.79,25.6,4.02,0.17,0.0,0.0,25.4
2025-03-08_12-31-36-623000,3.46,2.74,25.3,4.09,0.17,0.04,0.08,26.1
2025-03-08_12-31-37-123000,3.45,2.74,25.6,4.07,0.06,0.01,0.11,25.9
2025-03-08_12-31-37-623000,3.47,2.82,25.0,4.14,0.23,0.03,0.08,26.1
2025-03-08_12-31-38-123000,3.48,2.73,25.9,4.06,0.03,-0.09,0.15,26.4
2025-03-08_12-31-38-623000,3.41,2.77,25.3,4.07,0.09,-0.09,0.11,25.2
2025-03-08_12-31-39-123000,3.45,2.7,26.0,4.07,0.17,-0.05,0.12,25.4
2025-03-08_12-31-39-623000,3.41,2.78,25.8,4.14,0.18,0.03,0.01,26.4
2025-03-08_12-31-40-123000,3.43,2.74,25.1,4.06,0.06,-0.05,0.14,26.0
2025-03-08_12-31-40-623000,3.45,2.68,25.5,4.07,0.07,-0.07,0.11,26.3
2025-03-08_12-31-41-123000,3.45,2.8,25.3,4.05,0.09,-0.0,0.23,25.7
2025-03-08_12-31-41-623000,3.48,2.77,25.6,4.09,0.14,-0.1,0.06,25.6
2025-03-08_12-31-42-123000,3.47,2.75,25.5,4.16,0.03,-0.08,0.06,25.6
2025-03-08_12-31-42-623000,3.46,2.74,25.4,4.06,0.04,-0.07,0.26,25.9
2025-03-08_12-31-43-123000,3.48,2.7,25.5,4.07,0.11,-0.05,0.1,26.9
2025-03-08_12-31-43-623000,3.44,2.75,25.9,4.18,0.06,-0.1,0.07,25.9
2025-03-08_12-31-44-123000,3.45,2.74,25.4,4.04,0.13,-0.06,0.11,26.8
2025-03-08_12-31-44-623000,3.55,2.81,25.3,4.1,0.16,-0.07,0.07,26.2
2025-03-08_12-31-45-123000,3.44,2.8,25.8,4.12,0.07,-0.04,0.03,26.1
2025-03-08_12-31-45-623000,3.44,2.71,26.2,4.14,0.08,-0.04,0.07,25.8
2025-03-08_12-31-46-123000,3.5,2.8,24.7,4.09,0.18,0.0,0.09,25.5
2025-03-08_12-31-46-623000,3.48,2.8,25.6,4.19,0.19,-0.01,0.08,25.9
2025-03-08_12-31-47-123000,3.46,2.71,25.5,4.13,0.16,-0.08,0.04,26.7
2025-03-08_12-31-47-623000,3.38,2.82,25.2,4.1,0.04,-0.08,0.0,25.8
2025-03-08_12-31-48-123000,3.4,2.75,25.6,4.13,0.11,-0.02,0.15,25.1
2025-03-08_12-31-48-623000,3.44,2.82,25.7,4.09,0.19,-0.06,0.05,26.3
2025-03-08_12-31-49-123000,3.53,2.88,26.0,4.13,0.23,0.02,0.09,25.7
2025-03-08_12-31-49-623000,3.41,2.73,26.3,4.08,0.12,-0.05,0.05,26.0
2025-03-08_12-31-50-123000,3.48,2.81,25.6,4.09,0.16,-0.02,0.01,25.7
2025-03-08_12-31-50-623000,3.42,2.72,24.4,4.13,0.1,-0.01,0.15,26.4
2025-03-08_12-31-51-123000,3.46,2.68,25.3,4.08,0.19,-0.04,0.06,25.3
2025-03-08_12-31-51-623000,3.38,2.78,25.7,4.19,0.13,-0.0,-0.0,26.0
2025-03-08_12-31-52-123000,3.5,2.67,25.7,4.12,0.14,-0.08,0.04,26.3
2025-03-08_12-31-52-623000,3.49,2.74,25.3,4.1,0.17,-0.03,0.02,25.8
2025-03-08_12-31-53-123000,3.41,2.85,25.9,4.08,0.13,0.01,0.16,25.8
2025-03-08_12-31-53-623000,3.4,2.81,25.6,4.05,0.1,-0.03,0.12,26.1
2025-03-08_12-31-54-123000,3.41,2.81,25.3,4.12,0.12,-0.14,0.08,26.6
2025-03-08_12-31-54-623000,3.5,2.76,26.0,4.09,0.08,-0.06,0.14,25.3
2025-03-08_12-31-55-123000,3.42,2.83,26.1,4.1,0.13,-0.0,0.11,25.8
2025-03-08_12-31-55-623000,3.43,2.78,25.9,4.18,0.15,-0.07,0.12,26.2
2025-03-08_12-31-56-123000,3.47,2.7,25.9,4.11,0.08,-0.01,0.11,26.5
2025-03-08_12-31-56-623000,3.44,2.83,25.2,4.15,0.12,-0.09,0.02,26.5
2025-03-08_12-31-57-123000,3.33,2.78,25.3,4.11,0.2,-0.08,0.1,25.9
2025-03-08_12-31-57-623000,3.5,2.73,25.7,4.17,0.11,-0.07,0.06,26.4
2025-03-08_12-31-58-123000,3.41,2.72,25.8,4.05,0.09,-0.09,0.05,25.3
2025-03-08_12-31-58-623000,3.46,2.73,25.1,4.18,0.09,0.02,0.09,25.9
2025-03-08_12-31-59-123000,3.43,2.73,25.0,4.19,0.06,0.01,0.04,26.1
2025-03-08_12-31-59-623000,3.42,2.79,25.8,4.11,0.12,-0.06,0.11,25.9
2025-03-08_12-32-00-123000,3.53,2.9,25.6,4.1,0.18,-0.05,0.1,25.6
2025-03-08_12-32-00-623000,3.35,2.83,25.0,4.08,0.09,-0.0,0.03,26.0
2025-03-08_12-32-01-123000,3.5,2.78,26.0,4.08,0.09,-0.04,0.04,25.9
2025-03-08_12-32-01-623000,3.52,2.87,26.1,4.09,0.16,-0.1,0.11,26.0
2025-03-08_12-32-02-123000,3.37,2.74,25.1,4.12,0.09,-0.01,0.17,26.0
2025-03-08_12-32-02-623000,3.48,2.71,26.1,4.15,0.13,-0.1,0.04,26.1
2025-03-08_12-32-03-123000,3.36,2.79,25.7,4.09,0.12,-0.17,0.09,25.7
2025-03-08_12-32-03-623000,3.47,2.74,25.6,4.1,0.15,-0.08,0.11,26.2
2025-03-08_12-32-04-123000,3.5,2.72,25.5,4.08,0.09,-0.1,0.12,25.9
2025-03-08_12-32-04-623000,3.42,2.68,25.9,4.12,0.11,-0.14,-0.03,26.2
2025-03-08_12-32-05-123000,3.51,2.81,26.0,4.03,-0.01,0.02,0.02,25.9
2025-03-08_12-32-05-623000,3.42,2.8,25.4,4.12,0.07,-0.01,0.08,25.2
2025-03-08_12-32-06-123000,3.39,2.75,26.1,4.01,0.18,-0.02,0.08,26.0
2025-03-08_12-32-06-623000,3.48,2.76,25.4,4.07,0.23,0.0,0.13,25.4
2025-03-08_12-32-07-123000,3.44,2.8,24.6,4.17,0.12,-0.11,0.08,26.1
2025-03-08_12-32-07-623000,3.52,2.85,25.5,4.13,0.14,0.02,0.03,26.3
2025-03-08_12-32-08-123000,3.34,2.73,24.5,4.12,0.1,0.03,-0.0,25.6
2025-03-08_12-32-08-623000,3.46,2.83,25.9,4.12,0.11,-0.13,0.09,26.1
2025-03-08_12-32-09-123000,3.38,2.77,25.6,4.14,0.14,-0.06,0.12,26.8
2025-03-08_12-32-09-623000,3.5,2.72,26.0,4.15,0.2,-0.04,0.08,27.1
2025-03-08_12-32-10-123000,3.45,2.75,26.6,4.12,0.17,0.01,0.12,26.3
2025-03-08_12-32-10-623000,3.46,2.77,25.7,4.08,0.14,-0.06,0.03,25.2
2025-03-08_12-32-11-123000,3.54,2.74,26.2,4.08,0.13,-0.1,0.12,26.4
2025-03-08_12-32-11-623000,3.43,2.79,25.6,4.1,0.19,-0.06,0.14,26.5
2025-03-08_12-32-12-123000,3.45,2.7,25.0,4.11,0.09,-0.04,0.04,25.4
2025-03-08_12-32-12-623000,3.5,2.72,25.4,4.22,0.09,-0.06,0.03,26.7
2025-03-08_12-32-13-123000,3.42,2.67,25.0,4.01,0.27,-0.08,0.07,25.6
2025-03-08_12-32-13-623000,3.43,2.89,26.4,4.01,0.07,-0.03,0.03,25.3
2025-03-08_12-32-14-123000,3.41,2.76,25.2,4.11,0.2,-0.1,0.05,25.6
2025-03-08_12-32-14-623000,3.42,2.8,25.6,4.08,0.21,-0.1,-0.03,26.1
2025-03-08_12-32-15-123000,3.48,2.82,25.5,4.08,0.1,-0.13,0.12,25.3
2025-03-08_12-32-15-623000,3.44,2.78,26.3,4.13,0.18,0.0,0.05,26.3
2025-03-08_12-32-16-123000,3.48,2.89,24.6,4.02,0.11,-0.01,0.1,26.0
2025-03-08_12-32-16-623000,3.45,2.82,26.4,4.07,0.08,0.02,0.06,25.6
2025-03-08_12-32-17-123000,3.44,2.75,25.1,4.06,0.08,-0.04,0.18,27.1
2025-03-08_12-32-17-623000,3.5,2.87,25.8,4.13,0.07,-0.02,0.04,26.0
2025-03-08_12-32-18-123000,3.33,2.78,25.0,4.01,0.13,-0.03,0.05,26.6
2025-03-08_12-32-18-623000,3.47,2.8,26.1,4.16,0.08,0.02,0.16,25.0
2025-03-08_12-32-19-123000,3.54,2.77,24.8,4.1,0.2,-0.04,0.01,25.8
2025-03-08_12-32-19-623000,3.49,2.8,25.8,4.15,0.2,0.02,0.08,25.6
2025-03-08_12-32-20-123000,3.41,2.88,25.8,4.07,0.03,-0.05,0.01,25.9
2025-03-08_12-32-20-623000,3.41,2.78,25.1,4.23,0.15,-0.1,0.1,26.5
2025-03-08_12-32-21-123000,3.46,2.71,25.6,4.13,0.0,-0.16,0.12,25.4
2025-03-08_12-32-21-623000,3.58,2.7,26.1,4.15,0.11,-0.04,0.11,26.7
2025-03-08_12-32-22-123000,3.51,2.78,26.4,3.98,0.16,0.07,0.13,25.2
2025-03-08_12-32-22-623000,3.56,2.77,25.5,4.11,0.19,-0.11,0.11,26.8
2025-03-08_12-32-23-123000,3.48,2.81,25.7,4.11,0.07,-0.04,0.1,25.5
2025-03-08_12-32-23-623000,3.46,2.77,26.5,4.12,0.07,-0.13,0.14,27.0
2025-03-08_12-32-24-123000,3.47,2.79,25.9,4.16,0.07,-0.03,0.09,26.1
2025-03-08_12-32-24-623000,3.49,2.77,25.1,4.13,0.13,0.01,0.14,25.9
2025-03-08_12-32-25-123000,3.4,2.73,26.2,4.14,0.1,-0.09,0.11,25.8
2025-03-08_12-32-25-623000,3.46,2.76,25.1,4.15,0.14,-0.06,0.08,25.3
2025-03-08_12-32-26-123000,3.45,2.76,25.8,4.1,0.09,0.08,0.11,25.3
2025-03-08_12-32-26-623000,3.36,2.8,25.9,4.05,0.15,-0.06,0.06,26.3
2025-03-08_12-32-27-123000,3.49,2.79,26.4,4.13,0.08,-0.03,0.06,26.7
2025-03-08_12-32-27-623000,3.51,2.77,25.6,4.11,0.1,-0.09,0.08,26.2
2025-03-08_12-32-28-123000,3.51,2.8,25.1,4.13,0.16,-0.04,0.05,25.8
2025-03-08_12-32-28-623000,3.42,2.82,25.3,4.11,0.23,-0.04,0.14,25.7
2025-03-08_12-32-29-123000,3.43,2.75,25.2,4.12,0.17,-0.1,0.09,26.2
2025-03-08_12-32-29-623000,3.42,2.7,24.9,4.12,0.09,-0.04,0.07,26.1
2025-03-08_12-32-30-123000,3.38,2.76,26.0,4.06,0.13,0.01,0.11,26.2
2025-03-08_12-32-30-623000,3.49,2.8,25.4,4.01,0.13,-0.06,0.16,26.8
2025-03-08_12-32-31-123000,3.44,2.83,26.2,4.15,0.06,-0.1,0.09,26.0
